date,level_m
2010-01-01,3.668039783064027
2010-01-02,3.62766854439577
2010-01-03,3.5996951400714012
2010-01-04,3.571287968375803
2010-01-05,3.5951930564797836
2010-01-06,3.6616977231323844
2010-01-07,3.4216779905832144
2010-01-08,3.5482966323461986
2010-01-09,3.5044979914334378
2010-01-10,3.500850572122011
2010-01-11,3.557441893898403
2010-01-12,3.6450906069881865
2010-01-13,3.597945441233863
2010-01-14,3.475227950953564
2010-01-15,3.5460979869419984
2010-01-16,3.607453982853204
2010-01-17,3.6313411984808543
2010-01-18,3.489771939246422
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-23,
2010-01-24,
2010-01-25,4.272546611666574
2010-01-26,4.014569927827599
2010-01-27,4.23112684199843
2010-01-28,4.015097782300049
2010-01-29,4.220487970057813
2010-01-30,3.778809547531888
2010-01-31,3.4926183674967644
2010-02-01,3.6099586144188147
2010-02-02,3.3348773877187123
2010-02-03,3.205420102263787
2010-02-04,2.940741358128584
2010-02-05,3.0761145061304913
2010-02-06,3.1070091425454764
2010-02-07,2.819511793310942
2010-02-08,2.662950087197981
2010-02-09,2.8259825638532146
2010-02-10,2.6757318205227856
2010-02-11,2.587501487588493
2010-02-12,2.6082675337499106
2010-02-13,2.380453465111051
2010-02-14,2.4018816399700107
2010-02-15,2.097007188904365
2010-02-16,2.2310794616628
2010-02-17,2.2197091926707833
2010-02-18,2.2625402595580453
2010-02-19,2.1251940708220243
2010-02-20,2.2346894691307932
2010-02-21,2.1992655267238854
2010-02-22,2.171879002608043
2010-02-23,2.323372017697712
2010-02-24,2.0680085672983655
2010-02-25,2.1873335518609314
2010-02-26,1.8756629970657523
2010-02-27,1.7679606243277657
2010-02-28,1.8718564599664282
2010-03-01,1.6436147822440894
2010-03-02,1.5033306673288434
2010-03-03,1.4564962366374292
2010-03-04,1.2230449830237948
2010-03-05,0.8585087382076231
2010-03-06,1.0225571910940594
2010-03-07,0.8310084212912137
2010-03-08,0.6293378433591623
2010-03-09,0.6358572274054293
2010-03-10,0.4
2010-03-11,0.46289994789629185
2010-03-12,0.4
2010-03-13,0.47356212133160513
2010-03-14,0.6571704305382262
2010-03-15,0.6839879043550595
2010-03-16,0.6125974917075403
2010-03-17,0.9564595873713507
2010-03-18,0.9940451445331848
2010-03-19,0.976949417962768
2010-03-20,1.0474961374046154
2010-03-21,1.163062353185591
2010-03-22,1.220019747385986
2010-03-23,1.4213212091545748
2010-03-24,1.4237344307472704
2010-03-25,1.4262542499113557
2010-03-26,1.5416217394785838
2010-03-27,1.3538484987032602
2010-03-28,1.408150154315146
2010-03-29,1.3850586324450755
2010-03-30,1.1840857246483318
2010-03-31,1.1394446783272254
2010-04-01,0.984714474053649
2010-04-02,1.1147244812152193
2010-04-03,1.3371670241014282
2010-04-04,1.3777654349679238
2010-04-05,1.296941359505358
2010-04-06,1.205218573581716
2010-04-07,1.1803129796710052
2010-04-08,1.2370410254626578
2010-04-09,1.4893500862324887
2010-04-10,1.5045751014302204
2010-04-11,1.520037158615207
2010-04-12,1.5308986913549683
2010-04-13,1.412163916296343
2010-04-14,1.8785217797026044
2010-04-15,1.9495013981315128
2010-04-16,2.1633367235456897
2010-04-17,2.1770598226435522
2010-04-18,2.4331803614851006
2010-04-19,2.3439989083212143
2010-04-20,2.3670220974754637
2010-04-21,2.3816870184208803
2010-04-22,2.499558068881916
2010-04-23,2.702594045800678
2010-04-24,2.6579403462331284
2010-04-25,2.561675172295216
2010-04-26,2.5916879608666186
2010-04-27,2.6546327690958944
2010-04-28,2.588630700556826
2010-04-29,2.763972423688461
2010-04-30,2.6884172724953896
2010-05-01,2.59024438348411
2010-05-02,2.4766073938367503
2010-05-03,2.6030497170112663
2010-05-04,2.575111845639575
2010-05-05,2.597651039755388
2010-05-06,2.4334198208125977
2010-05-07,2.6291590674635463
2010-05-08,2.7738983566358937
2010-05-09,2.763074200919396
2010-05-10,2.5336655227979894
2010-05-11,2.6935136990961137
2010-05-12,2.7929564077706655
2010-05-13,2.550879075715608
2010-05-14,2.568798436662114
2010-05-15,2.899757410245908
2010-05-16,2.717662335751127
2010-05-17,2.5908454877140943
2010-05-18,2.6419226539986598
2010-05-19,2.722964588736556
2010-05-20,2.8101607308365235
2010-05-21,2.6395476039872356
2010-05-22,2.578554249930557
2010-05-23,2.6160080448977605
2010-05-24,2.7500530850420906
2010-05-25,2.8923580315832074
2010-05-26,2.9479104634617976
2010-05-27,2.912420428184788
2010-05-28,2.939428666188715
2010-05-29,2.91650263309779
2010-05-30,2.993845363470272
2010-05-31,2.6669296464587737
2010-06-01,2.439407445215872
2010-06-02,2.496869336130098
2010-06-03,2.282714233385081
2010-06-04,2.2848986966314713
2010-06-05,2.3587108781967068
2010-06-06,2.272847785856729
2010-06-07,2.197253628730284
2010-06-08,2.161694843346436
2010-06-09,1.9754881959217367
2010-06-10,
2010-06-11,2.1377120431913235
2010-06-12,2.081805517441192
2010-06-13,2.1426571315722627
2010-06-14,2.1479196841629036
2010-06-15,2.143871286397097
2010-06-16,2.072341770359777
2010-06-17,2.1149084149254356
2010-06-18,2.120226429168159
2010-06-19,2.191168303201521
2010-06-20,2.23304830357528
2010-06-21,2.25972601140993
2010-06-22,2.0764358645637997
2010-06-23,2.033827796484163
2010-06-24,1.9289519774382453
2010-06-25,2.100927873582993
2010-06-26,2.2618662806367835
2010-06-27,2.1506187749951877
2010-06-28,2.2735866399036646
2010-06-29,2.2418257636429257
2010-06-30,2.3193839403548218
2010-07-01,2.3558436967360508
2010-07-02,2.3965128171685506
2010-07-03,2.416820904381886
2010-07-04,2.4443341362464768
2010-07-05,2.5970465239454135
2010-07-06,2.4530901785179804
2010-07-07,2.2649607064489743
2010-07-08,2.4258834494005406
2010-07-09,2.4652123975198257
2010-07-10,2.4150044594005284
2010-07-11,2.402715965895357
2010-07-12,2.3341529303909727
2010-07-13,2.103304283321385
2010-07-14,2.1668001903444094
2010-07-15,2.2633027904328378
2010-07-16,2.1102240292500967
2010-07-17,2.126677376507472
2010-07-18,2.3684999840728143
2010-07-19,2.3437257530257365
2010-07-20,2.2156554435690117
2010-07-21,2.429573595000245
2010-07-22,2.4911251832229926
2010-07-23,2.446391916326276
2010-07-24,2.473193579802805
2010-07-25,2.5622416491561317
2010-07-26,2.46416220547699
2010-07-27,2.534321716678991
2010-07-28,2.639758788607207
2010-07-29,2.5096131718812247
2010-07-30,2.4689886416818116
2010-07-31,2.694135839742855
2010-08-01,2.60622082738612
2010-08-02,2.507785217502971
2010-08-03,2.3282604039750763
2010-08-04,2.4822562509862474
2010-08-05,2.5519467570580456
2010-08-06,2.528887228556295
2010-08-07,2.643178361461916
2010-08-08,2.4633267647940364
2010-08-09,2.4431359108862716
2010-08-10,2.4228383892728567
2010-08-11,2.402166879592753
2010-08-12,2.4454466370501993
2010-08-13,2.361848583825482
2010-08-14,2.354407099023182
2010-08-15,2.352272457130818
2010-08-16,2.281875410456799
2010-08-17,2.4644074707394856
2010-08-18,2.4132655557984064
2010-08-19,2.446826521551714
2010-08-20,2.3385800224529105
2010-08-21,2.4562075971097963
2010-08-22,2.2269109573094923
2010-08-23,2.5017957044369985
2010-08-24,2.28891875698075
2010-08-25,2.4914732092561707
2010-08-26,2.3991097226921565
2010-08-27,2.434464652020804
2010-08-28,2.226854479626591
2010-08-29,2.276851767970145
2010-08-30,2.3966935533073084
2010-08-31,2.298516193295697
2010-09-01,2.1517608680848794
2010-09-02,2.2385151960017233
2010-09-03,2.3092641839403747
2010-09-04,2.4051398024249715
2010-09-05,2.391114105824372
2010-09-06,2.3696781641932705
2010-09-07,2.4352337369999497
2010-09-08,2.529769659261405
2010-09-09,2.475794494093398
2010-09-10,2.3885754847690017
2010-09-11,2.322237551009815
2010-09-12,2.5517548374466004
2010-09-13,2.4650198665984524
2010-09-14,2.5631826468651844
2010-09-15,2.5366299708648774
2010-09-16,2.5920125189062513
2010-09-17,2.685054292448897
2010-09-18,2.794495359903856
2010-09-19,2.6904716038585335
2010-09-20,2.547297871652535
2010-09-21,2.664669769787316
2010-09-22,2.7271089126419414
2010-09-23,2.8180367870245404
2010-09-24,2.6152537738772197
2010-09-25,2.731757567825266
2010-09-26,2.745150972249305
2010-09-27,2.698904297314126
2010-09-28,2.8973509914016247
2010-09-29,2.9385519044577384
2010-09-30,2.749034596740161
2010-10-01,2.7023514670706947
2010-10-02,2.689237101480421
2010-10-03,2.635195864465021
2010-10-04,2.5270751464974346
2010-10-05,2.522975195186015
2010-10-06,2.56896138997875
2010-10-07,2.5174488329132836
2010-10-08,2.6690474885880366
2010-10-09,2.6854737810676297
2010-10-10,2.6967824278671255
2010-10-11,2.8217403462962145
2010-10-12,2.714426151907919
2010-10-13,2.964667622984105
2010-10-14,2.6459474235986056
2010-10-15,2.70037266021894
2010-10-16,2.7008266905756986
2010-10-17,2.8164558974235967
2010-10-18,2.7077948877450293
2010-10-19,2.6434879496995674
2010-10-20,2.7086376957371496
2010-10-21,2.515326470708962
2010-10-22,2.5019100782904715
2010-10-23,2.776770141564753
2010-10-24,2.7110549483780004
2010-10-25,2.656159748123305
2010-10-26,2.8235065666916643
2010-10-27,3.0166804253808257
2010-10-28,2.894361322619368
2010-10-29,2.9075061052131432
2010-10-30,2.822765613670704
2010-10-31,2.7923472271660366
2010-11-01,3.0425384758656833
2010-11-02,3.0208921256812986
2010-11-03,3.039575776179171
2010-11-04,2.95951493794634
2010-11-05,2.818498581519281
2010-11-06,2.5909589305205314
